Dataset,TSCMP,Shapelet Transformation,Decision Tree Classifier
ArrowHead,0.58,0.64,0.54
ECG200,0.84,0.80,0.58
ECG5000,0.90,0.89,0.36
GunPoint,0.90,0.84,0.72
ItalyPowerDemand,0.92,0.91,0.53
PhalangesOutlinesCorrect,0.70,0.68,0.39
,,,
,,,
Dataset,TSCMP,Shapelet Transformation,Decision Tree Classifier
,,,
ArrowHead,9.56,38.12,8.00
,,,
ECG200,18.19,25.17,5.43
,,,
ECG5000,124.43,1002.84,169.99
,,,
GunPoint,8.67,28.34,7.23
,,,
ItalyPowerDemand,9.84,5.64,27.06
,,,
PhalangesOutlinesCorrect,699.39,3777.52,274.51
