Algorithm,DatasetName,Accuracy,Time
LearningShapelets,ItalyPowerDemand,0.63,39.75
LearningShapelets,Adiac,0.1,131.78
LearningShapelets,BirdChicken,0.7,61.27
LearningShapelets,Coffee,0.75,45.12
LearningShapelets,Earthquakes,0.73,493.71
LearningShapelets,FaceFour,0.59,53.64
LearningShapelets,Fish,0.38,212.64
LearningShapelets,MedicalImages,0.56,72.25
LearningShapelets,OliveOil,0.63,75.26
LearningShapelets,Plane,0.63,43.87
LearningShapelets,Strawberry,0.89,247.72
LearningShapelets,Symbols,0.64,47.76
LearningShapelets,Trace,0.89,63.23
LearningShapelets,TwoLeadECG,0.88,23.18
LearningShapelets,Wafer,0.93,222.02
LearningShapelets,Wine,0.69,45.19
LearningShapelets,WordSynonyms,0.25,153.4
LearningShapelets,Worms,0.44,671.04
LearningShapelets,WormsTwoClass,0.65,708.29
LearningShapelets,Yoga,0.62,294.24
LearningShapelets,ArrowHead,0.6,34.87
LearningShapelets,ECG200,0.62,32.89
LearningShapelets,ECG5000,0.91,114.47
LearningShapelets,GunPoint,0.66,34.71
LearningShapelets,ItalyPowerDemand,0.57,23.26
LearningShapelets,PhalangesOutlinesCorrect,0.67,204.15
LearningShapelets,ElectricDevices,0.55,904.26
