Algorithm,DatasetName,K,Scaler,Accuracy,Time
KNN,GunPoint,3,MinMaxScaler(),0.85,0.013999223709106445
KNN,GunPoint,3,StandardScaler(),0.88,0.013000011444091797
KNN,ItalyPowerDemand,3,MinMaxScaler(),0.93,0.046001434326171875
KNN,ItalyPowerDemand,3,StandardScaler(),0.94,0.15099859237670898
KNN,ArrowHead,3,MinMaxScaler(),0.64,0.015996217727661133
KNN,ArrowHead,3,StandardScaler(),0.77,0.015000581741333008
KNN,ECG200,3,MinMaxScaler(),0.85,0.009999752044677734
KNN,ECG200,3,StandardScaler(),0.88,0.009998559951782227
KNN,ECG5000,3,MinMaxScaler(),0.87,0.7489988803863525
KNN,ECG5000,3,StandardScaler(),0.94,0.6149957180023193
KNN,PhalangesOutlinesCorrect,3,MinMaxScaler(),0.65,0.2239987850189209
KNN,PhalangesOutlinesCorrect,3,StandardScaler(),0.68,0.19600486755371094
KNN,GunPoint,5,MinMaxScaler(),0.81,0.012999773025512695
KNN,GunPoint,5,StandardScaler(),0.77,0.013000249862670898
KNN,ItalyPowerDemand,5,MinMaxScaler(),0.93,0.04699897766113281
KNN,ItalyPowerDemand,5,StandardScaler(),0.94,0.04899430274963379
KNN,ArrowHead,5,MinMaxScaler(),0.62,0.016004323959350586
KNN,ArrowHead,5,StandardScaler(),0.68,0.014999866485595703
KNN,ECG200,5,MinMaxScaler(),0.82,0.011003732681274414
KNN,ECG200,5,StandardScaler(),0.86,0.01100015640258789
KNN,ECG5000,5,MinMaxScaler(),0.90,0.764000654220581
KNN,ECG5000,5,StandardScaler(),0.94,0.6420023441314697
KNN,PhalangesOutlinesCorrect,5,MinMaxScaler(),0.67,0.22802448272705078
KNN,PhalangesOutlinesCorrect,5,StandardScaler(),0.70,0.19999361038208008
KNN,GunPoint,7,MinMaxScaler(),0.75,0.013994216918945312
KNN,GunPoint,7,StandardScaler(),0.75,0.012994766235351562
KNN,ItalyPowerDemand,7,MinMaxScaler(),0.92,0.30500006675720215
KNN,ItalyPowerDemand,7,StandardScaler(),0.95,0.051999807357788086
KNN,ArrowHead,7,MinMaxScaler(),0.55,0.01600050926208496
KNN,ArrowHead,7,StandardScaler(),0.67,0.015993833541870117
KNN,ECG200,7,MinMaxScaler(),0.83,0.009999752044677734
KNN,ECG200,7,StandardScaler(),0.84,0.01100468635559082
KNN,ECG5000,7,MinMaxScaler(),0.91,0.77103590965271
KNN,ECG5000,7,StandardScaler(),0.94,0.6729986667633057
KNN,PhalangesOutlinesCorrect,7,MinMaxScaler(),0.67,0.23100066184997559
KNN,PhalangesOutlinesCorrect,7,StandardScaler(),0.72,0.20299458503723145
