Candidates,Max depth,Min samples,Window size,Remove candi,k,useValidationSet,% Training set,NumCluster(Medoids),Accuracy,Time
Motifs,3,5,5,0,2,True,0.05,20,0.2,429.32
Motifs,4,50,5,0,1,True,0.3,20,0.39,3833.92
Motifs,5,100,5,0,1,True,0.3,20,0.46,9581.85
Discords,5,50,5,0,1,True,0.3,50,0.49,9489.33
Discords,4,50,5,0,1,True,0.3,50,0.44,8043.4
Both,4,50,5,0,1,True,0.3,10,0.46,2670.35
Motifs,4,50,15,0,1,True,0.3,10,0.52,2292.63
Motifs,4,50,10,0,1,True,0.3,10,0.37,2377.39
Motifs,4,50,20,0,1,True,0.3,10,0.41,2132.09
Discords,4,50,20,0,1,True,0.3,10,0.4,2384.61
Discords,4,50,30,0,1,False,0.3,10,0.45,1980.89
